span1,span2,sentence,answer
Cello,timpani 20inch,The sound of Cello is [MASK] than the sound of timpani 20inch,higher
Cello,xylophone,The sound of Cello is [MASK] than the sound of xylophone,lower
Cello,celesta,The sound of Cello is [MASK] than the sound of celesta,lower
Cello,glockenspiel,The sound of Cello is [MASK] than the sound of glockenspiel,lower
Cello,crotales,The sound of Cello is [MASK] than the sound of crotales,lower
Cello,tubular bells,The sound of Cello is [MASK] than the sound of tubular bells,higher
Cello,gong,The sound of Cello is [MASK] than the sound of gong,higher
viola,bass guitar,The sound of viola is [MASK] than the sound of bass guitar,higher
viola,baritone guitar,The sound of viola is [MASK] than the sound of baritone guitar,higher
viola,5-string banjo,The sound of viola is [MASK] than the sound of 5-string banjo,higher
viola,Ukulele,The sound of viola is [MASK] than the sound of Ukulele,higher
viola,hammered dulcimer,The sound of viola is [MASK] than the sound of hammered dulcimer,higher
viola,contrabassoon,The sound of viola is [MASK] than the sound of contrabassoon,higher
viola,bassoon,The sound of viola is [MASK] than the sound of bassoon,higher
viola,heckelphone,The sound of viola is [MASK] than the sound of heckelphone,higher
viola,cor anglais,The sound of viola is [MASK] than the sound of cor anglais,higher
viola,octocontrabass ciarinet,The sound of viola is [MASK] than the sound of octocontrabass ciarinet,higher
viola,octocontra-alto clarinet,The sound of viola is [MASK] than the sound of octocontra-alto clarinet,higher
viola,contrabass clarinet,The sound of viola is [MASK] than the sound of contrabass clarinet,higher
viola,contra-alto clarinet,The sound of viola is [MASK] than the sound of contra-alto clarinet,higher
viola,bass clarinet,The sound of viola is [MASK] than the sound of bass clarinet,higher
viola,subcontrabass saxophone,The sound of viola is [MASK] than the sound of subcontrabass saxophone,higher
viola,contrabass saxophone,The sound of viola is [MASK] than the sound of contrabass saxophone,higher
viola,bass saxophone,The sound of viola is [MASK] than the sound of bass saxophone,higher
viola,baritone saxophone,The sound of viola is [MASK] than the sound of baritone saxophone,higher
viola,tenor saxophone,The sound of viola is [MASK] than the sound of tenor saxophone,higher
viola,alto saxophone,The sound of viola is [MASK] than the sound of alto saxophone,higher
viola,soprano saxophone,The sound of viola is [MASK] than the sound of soprano saxophone,higher
viola,hyperbass flute,The sound of viola is [MASK] than the sound of hyperbass flute,higher
viola,double contrabass flute,The sound of viola is [MASK] than the sound of double contrabass flute,higher
viola,subcontrabass flute,The sound of viola is [MASK] than the sound of subcontrabass flute,higher
viola,contrabass flute,The sound of viola is [MASK] than the sound of contrabass flute,higher
viola,contra-alto flute,The sound of viola is [MASK] than the sound of contra-alto flute,higher
viola,bass flute,The sound of viola is [MASK] than the sound of bass flute,higher
viola,piccolo,The sound of viola is [MASK] than the sound of piccolo,lower
viola,sub-contrabass recorder,The sound of viola is [MASK] than the sound of sub-contrabass recorder,higher
viola,sub-great bass recorder,The sound of viola is [MASK] than the sound of sub-great bass recorder,higher
viola,contrabass recorder,The sound of viola is [MASK] than the sound of contrabass recorder,higher
viola,great bass recorder,The sound of viola is [MASK] than the sound of great bass recorder,higher
viola,bass recorder,The sound of viola is [MASK] than the sound of bass recorder,higher
viola,sopranino recorder,The sound of viola is [MASK] than the sound of sopranino recorder,lower
viola,garklein recorder,The sound of viola is [MASK] than the sound of garklein recorder,lower
viola,subcontrabass tuba,The sound of viola is [MASK] than the sound of subcontrabass tuba,higher
viola,contrabass tuba,The sound of viola is [MASK] than the sound of contrabass tuba,higher
viola,bass tuba,The sound of viola is [MASK] than the sound of bass tuba,higher
viola,euphonium,The sound of viola is [MASK] than the sound of euphonium,higher
viola,contrabass trombone,The sound of viola is [MASK] than the sound of contrabass trombone,higher
viola,bass trombone,The sound of viola is [MASK] than the sound of bass trombone,higher
viola,tenor trombone,The sound of viola is [MASK] than the sound of tenor trombone,higher
viola,alto trombone,The sound of viola is [MASK] than the sound of alto trombone,higher
viola,cimbasso,The sound of viola is [MASK] than the sound of cimbasso,higher
viola,french horn,The sound of viola is [MASK] than the sound of french horn,higher
viola,baritone horn,The sound of viola is [MASK] than the sound of baritone horn,higher
viola,alto horn,The sound of viola is [MASK] than the sound of alto horn,higher
viola,bass wagner tuba,The sound of viola is [MASK] than the sound of bass wagner tuba,higher
viola,tenor wagner tuba,The sound of viola is [MASK] than the sound of tenor wagner tuba,higher
viola,bass trumpet,The sound of viola is [MASK] than the sound of bass trumpet,higher
viola,timpani 32inch,The sound of viola is [MASK] than the sound of timpani 32inch,higher
viola,timpani 29inch,The sound of viola is [MASK] than the sound of timpani 29inch,higher
viola,timpani 26inch,The sound of viola is [MASK] than the sound of timpani 26inch,higher
viola,timpani 23inch,The sound of viola is [MASK] than the sound of timpani 23inch,higher
viola,timpani 20inch,The sound of viola is [MASK] than the sound of timpani 20inch,higher
viola,celesta,The sound of viola is [MASK] than the sound of celesta,lower
viola,glockenspiel,The sound of viola is [MASK] than the sound of glockenspiel,lower
viola,crotales,The sound of viola is [MASK] than the sound of crotales,lower
viola,tubular bells,The sound of viola is [MASK] than the sound of tubular bells,higher
viola,gong,The sound of viola is [MASK] than the sound of gong,higher
Violin,harpsichord,The sound of Violin is [MASK] than the sound of harpsichord,higher
Violin,bass guitar,The sound of Violin is [MASK] than the sound of bass guitar,higher
Violin,baritone guitar,The sound of Violin is [MASK] than the sound of baritone guitar,higher
Violin,guitar,The sound of Violin is [MASK] than the sound of guitar,higher
Violin,5-string banjo,The sound of Violin is [MASK] than the sound of 5-string banjo,higher
Violin,Ukulele,The sound of Violin is [MASK] than the sound of Ukulele,higher
Violin,hammered dulcimer,The sound of Violin is [MASK] than the sound of hammered dulcimer,higher
Violin,cymbalum,The sound of Violin is [MASK] than the sound of cymbalum,higher
Violin,contrabassoon,The sound of Violin is [MASK] than the sound of contrabassoon,higher
Violin,bassoon,The sound of Violin is [MASK] than the sound of bassoon,higher
Violin,heckelphone,The sound of Violin is [MASK] than the sound of heckelphone,higher
Violin,cor anglais,The sound of Violin is [MASK] than the sound of cor anglais,higher
Violin,oboe d'amore,The sound of Violin is [MASK] than the sound of oboe d'amore,higher
Violin,oboe,The sound of Violin is [MASK] than the sound of oboe,higher
Violin,octocontrabass ciarinet,The sound of Violin is [MASK] than the sound of octocontrabass ciarinet,higher
Violin,octocontra-alto clarinet,The sound of Violin is [MASK] than the sound of octocontra-alto clarinet,higher
Violin,contrabass clarinet,The sound of Violin is [MASK] than the sound of contrabass clarinet,higher
Violin,contra-alto clarinet,The sound of Violin is [MASK] than the sound of contra-alto clarinet,higher
Violin,bass clarinet,The sound of Violin is [MASK] than the sound of bass clarinet,higher
Violin,alto clarinet,The sound of Violin is [MASK] than the sound of alto clarinet,higher
Violin,subcontrabass saxophone,The sound of Violin is [MASK] than the sound of subcontrabass saxophone,higher
Violin,contrabass saxophone,The sound of Violin is [MASK] than the sound of contrabass saxophone,higher
Violin,bass saxophone,The sound of Violin is [MASK] than the sound of bass saxophone,higher
Violin,baritone saxophone,The sound of Violin is [MASK] than the sound of baritone saxophone,higher
Violin,tenor saxophone,The sound of Violin is [MASK] than the sound of tenor saxophone,higher
Violin,alto saxophone,The sound of Violin is [MASK] than the sound of alto saxophone,higher
Violin,soprano saxophone,The sound of Violin is [MASK] than the sound of soprano saxophone,higher
Violin,sopranino saxophone,The sound of Violin is [MASK] than the sound of sopranino saxophone,higher
Violin,hyperbass flute,The sound of Violin is [MASK] than the sound of hyperbass flute,higher
Violin,double contrabass flute,The sound of Violin is [MASK] than the sound of double contrabass flute,higher
Violin,subcontrabass flute,The sound of Violin is [MASK] than the sound of subcontrabass flute,higher
Violin,contrabass flute,The sound of Violin is [MASK] than the sound of contrabass flute,higher
Violin,contra-alto flute,The sound of Violin is [MASK] than the sound of contra-alto flute,higher
Violin,bass flute,The sound of Violin is [MASK] than the sound of bass flute,higher
Violin,alto flute,The sound of Violin is [MASK] than the sound of alto flute,higher
Violin,sub-contrabass recorder,The sound of Violin is [MASK] than the sound of sub-contrabass recorder,higher
Violin,sub-great bass recorder,The sound of Violin is [MASK] than the sound of sub-great bass recorder,higher
Violin,contrabass recorder,The sound of Violin is [MASK] than the sound of contrabass recorder,higher
Violin,great bass recorder,The sound of Violin is [MASK] than the sound of great bass recorder,higher
Violin,bass recorder,The sound of Violin is [MASK] than the sound of bass recorder,higher
Violin,tenor recorder,The sound of Violin is [MASK] than the sound of tenor recorder,higher
Violin,garklein recorder,The sound of Violin is [MASK] than the sound of garklein recorder,lower
Violin,subcontrabass tuba,The sound of Violin is [MASK] than the sound of subcontrabass tuba,higher
Violin,contrabass tuba,The sound of Violin is [MASK] than the sound of contrabass tuba,higher
Violin,bass tuba,The sound of Violin is [MASK] than the sound of bass tuba,higher
Violin,euphonium,The sound of Violin is [MASK] than the sound of euphonium,higher
Violin,contrabass trombone,The sound of Violin is [MASK] than the sound of contrabass trombone,higher
Violin,bass trombone,The sound of Violin is [MASK] than the sound of bass trombone,higher
Violin,tenor trombone,The sound of Violin is [MASK] than the sound of tenor trombone,higher
Violin,alto trombone,The sound of Violin is [MASK] than the sound of alto trombone,higher
Violin,soprano trombone,The sound of Violin is [MASK] than the sound of soprano trombone,higher
Violin,cimbasso,The sound of Violin is [MASK] than the sound of cimbasso,higher
Violin,french horn,The sound of Violin is [MASK] than the sound of french horn,higher
Violin,baritone horn,The sound of Violin is [MASK] than the sound of baritone horn,higher
Violin,alto horn,The sound of Violin is [MASK] than the sound of alto horn,higher
Violin,flugelhorn,The sound of Violin is [MASK] than the sound of flugelhorn,higher
Violin,bass wagner tuba,The sound of Violin is [MASK] than the sound of bass wagner tuba,higher
Violin,tenor wagner tuba,The sound of Violin is [MASK] than the sound of tenor wagner tuba,higher
Violin,bass trumpet,The sound of Violin is [MASK] than the sound of bass trumpet,higher
Violin,cornet,The sound of Violin is [MASK] than the sound of cornet,higher
Violin,trumpet,The sound of Violin is [MASK] than the sound of trumpet,higher
Violin,timpani 32inch,The sound of Violin is [MASK] than the sound of timpani 32inch,higher
Violin,timpani 29inch,The sound of Violin is [MASK] than the sound of timpani 29inch,higher
Violin,timpani 26inch,The sound of Violin is [MASK] than the sound of timpani 26inch,higher
Violin,timpani 23inch,The sound of Violin is [MASK] than the sound of timpani 23inch,higher
Violin,timpani 20inch,The sound of Violin is [MASK] than the sound of timpani 20inch,higher
Violin,vibraphone,The sound of Violin is [MASK] than the sound of vibraphone,higher
Violin,crotales,The sound of Violin is [MASK] than the sound of crotales,lower
Violin,tubular bells,The sound of Violin is [MASK] than the sound of tubular bells,higher
Violin,gong,The sound of Violin is [MASK] than the sound of gong,higher
Harp,bass guitar,The sound of Harp is [MASK] than the sound of bass guitar,higher
Harp,baritone guitar,The sound of Harp is [MASK] than the sound of baritone guitar,higher
Harp,guitar,The sound of Harp is [MASK] than the sound of guitar,higher
Harp,5-string banjo,The sound of Harp is [MASK] than the sound of 5-string banjo,higher
Harp,Ukulele,The sound of Harp is [MASK] than the sound of Ukulele,higher
Harp,hammered dulcimer,The sound of Harp is [MASK] than the sound of hammered dulcimer,higher
Harp,contrabassoon,The sound of Harp is [MASK] than the sound of contrabassoon,higher
Harp,bassoon,The sound of Harp is [MASK] than the sound of bassoon,higher
Harp,heckelphone,The sound of Harp is [MASK] than the sound of heckelphone,higher
Harp,cor anglais,The sound of Harp is [MASK] than the sound of cor anglais,higher
Harp,oboe d'amore,The sound of Harp is [MASK] than the sound of oboe d'amore,higher
Harp,octocontrabass ciarinet,The sound of Harp is [MASK] than the sound of octocontrabass ciarinet,higher
Harp,octocontra-alto clarinet,The sound of Harp is [MASK] than the sound of octocontra-alto clarinet,higher
Harp,contrabass clarinet,The sound of Harp is [MASK] than the sound of contrabass clarinet,higher
Harp,contra-alto clarinet,The sound of Harp is [MASK] than the sound of contra-alto clarinet,higher
Harp,bass clarinet,The sound of Harp is [MASK] than the sound of bass clarinet,higher
Harp,alto clarinet,The sound of Harp is [MASK] than the sound of alto clarinet,higher
Harp,subcontrabass saxophone,The sound of Harp is [MASK] than the sound of subcontrabass saxophone,higher
Harp,contrabass saxophone,The sound of Harp is [MASK] than the sound of contrabass saxophone,higher
Harp,bass saxophone,The sound of Harp is [MASK] than the sound of bass saxophone,higher
Harp,baritone saxophone,The sound of Harp is [MASK] than the sound of baritone saxophone,higher
Harp,tenor saxophone,The sound of Harp is [MASK] than the sound of tenor saxophone,higher
Harp,alto saxophone,The sound of Harp is [MASK] than the sound of alto saxophone,higher
Harp,soprano saxophone,The sound of Harp is [MASK] than the sound of soprano saxophone,higher
Harp,hyperbass flute,The sound of Harp is [MASK] than the sound of hyperbass flute,higher
Harp,double contrabass flute,The sound of Harp is [MASK] than the sound of double contrabass flute,higher
Harp,subcontrabass flute,The sound of Harp is [MASK] than the sound of subcontrabass flute,higher
Harp,contrabass flute,The sound of Harp is [MASK] than the sound of contrabass flute,higher
Harp,contra-alto flute,The sound of Harp is [MASK] than the sound of contra-alto flute,higher
Harp,bass flute,The sound of Harp is [MASK] than the sound of bass flute,higher
Harp,sub-contrabass recorder,The sound of Harp is [MASK] than the sound of sub-contrabass recorder,higher
Harp,sub-great bass recorder,The sound of Harp is [MASK] than the sound of sub-great bass recorder,higher
Harp,contrabass recorder,The sound of Harp is [MASK] than the sound of contrabass recorder,higher
Harp,great bass recorder,The sound of Harp is [MASK] than the sound of great bass recorder,higher
Harp,bass recorder,The sound of Harp is [MASK] than the sound of bass recorder,higher
Harp,garklein recorder,The sound of Harp is [MASK] than the sound of garklein recorder,lower
Harp,subcontrabass tuba,The sound of Harp is [MASK] than the sound of subcontrabass tuba,higher
Harp,contrabass tuba,The sound of Harp is [MASK] than the sound of contrabass tuba,higher
Harp,bass tuba,The sound of Harp is [MASK] than the sound of bass tuba,higher
Harp,euphonium,The sound of Harp is [MASK] than the sound of euphonium,higher
Harp,contrabass trombone,The sound of Harp is [MASK] than the sound of contrabass trombone,higher
Harp,bass trombone,The sound of Harp is [MASK] than the sound of bass trombone,higher
Harp,tenor trombone,The sound of Harp is [MASK] than the sound of tenor trombone,higher
Harp,alto trombone,The sound of Harp is [MASK] than the sound of alto trombone,higher
Harp,cimbasso,The sound of Harp is [MASK] than the sound of cimbasso,higher
Harp,french horn,The sound of Harp is [MASK] than the sound of french horn,higher
Harp,baritone horn,The sound of Harp is [MASK] than the sound of baritone horn,higher
Harp,alto horn,The sound of Harp is [MASK] than the sound of alto horn,higher
Harp,bass wagner tuba,The sound of Harp is [MASK] than the sound of bass wagner tuba,higher
Harp,tenor wagner tuba,The sound of Harp is [MASK] than the sound of tenor wagner tuba,higher
Harp,bass trumpet,The sound of Harp is [MASK] than the sound of bass trumpet,higher
Harp,cornet,The sound of Harp is [MASK] than the sound of cornet,higher
Harp,trumpet,The sound of Harp is [MASK] than the sound of trumpet,higher
Harp,timpani 32inch,The sound of Harp is [MASK] than the sound of timpani 32inch,higher
Harp,timpani 29inch,The sound of Harp is [MASK] than the sound of timpani 29inch,higher
Harp,timpani 26inch,The sound of Harp is [MASK] than the sound of timpani 26inch,higher
Harp,timpani 23inch,The sound of Harp is [MASK] than the sound of timpani 23inch,higher
Harp,timpani 20inch,The sound of Harp is [MASK] than the sound of timpani 20inch,higher
Harp,celesta,The sound of Harp is [MASK] than the sound of celesta,lower
Harp,vibraphone,The sound of Harp is [MASK] than the sound of vibraphone,higher
Harp,glockenspiel,The sound of Harp is [MASK] than the sound of glockenspiel,lower
Harp,crotales,The sound of Harp is [MASK] than the sound of crotales,lower
Harp,tubular bells,The sound of Harp is [MASK] than the sound of tubular bells,higher
Harp,gong,The sound of Harp is [MASK] than the sound of gong,higher
harpsichord,bass guitar,The sound of harpsichord is [MASK] than the sound of bass guitar,higher
harpsichord,piano,The sound of harpsichord is [MASK] than the sound of piano,lower
harpsichord,contrabassoon,The sound of harpsichord is [MASK] than the sound of contrabassoon,higher
harpsichord,octocontrabass ciarinet,The sound of harpsichord is [MASK] than the sound of octocontrabass ciarinet,higher
harpsichord,octocontra-alto clarinet,The sound of harpsichord is [MASK] than the sound of octocontra-alto clarinet,higher
harpsichord,contrabass clarinet,The sound of harpsichord is [MASK] than the sound of contrabass clarinet,higher
harpsichord,contra-alto clarinet,The sound of harpsichord is [MASK] than the sound of contra-alto clarinet,higher
harpsichord,sopranino clarinet,The sound of harpsichord is [MASK] than the sound of sopranino clarinet,lower
harpsichord,subcontrabass saxophone,The sound of harpsichord is [MASK] than the sound of subcontrabass saxophone,higher
harpsichord,contrabass saxophone,The sound of harpsichord is [MASK] than the sound of contrabass saxophone,higher
harpsichord,bass saxophone,The sound of harpsichord is [MASK] than the sound of bass saxophone,higher
harpsichord,baritone saxophone,The sound of harpsichord is [MASK] than the sound of baritone saxophone,higher
harpsichord,tenor saxophone,The sound of harpsichord is [MASK] than the sound of tenor saxophone,higher
harpsichord,hyperbass flute,The sound of harpsichord is [MASK] than the sound of hyperbass flute,higher
harpsichord,double contrabass flute,The sound of harpsichord is [MASK] than the sound of double contrabass flute,higher
harpsichord,subcontrabass flute,The sound of harpsichord is [MASK] than the sound of subcontrabass flute,higher
harpsichord,contrabass flute,The sound of harpsichord is [MASK] than the sound of contrabass flute,higher
harpsichord,piccolo,The sound of harpsichord is [MASK] than the sound of piccolo,lower
harpsichord,sub-contrabass recorder,The sound of harpsichord is [MASK] than the sound of sub-contrabass recorder,higher
harpsichord,sub-great bass recorder,The sound of harpsichord is [MASK] than the sound of sub-great bass recorder,higher
harpsichord,contrabass recorder,The sound of harpsichord is [MASK] than the sound of contrabass recorder,higher
harpsichord,soprano recorder,The sound of harpsichord is [MASK] than the sound of soprano recorder,lower
harpsichord,sopranino recorder,The sound of harpsichord is [MASK] than the sound of sopranino recorder,lower
harpsichord,garklein recorder,The sound of harpsichord is [MASK] than the sound of garklein recorder,lower
harpsichord,subcontrabass tuba,The sound of harpsichord is [MASK] than the sound of subcontrabass tuba,higher
harpsichord,contrabass tuba,The sound of harpsichord is [MASK] than the sound of contrabass tuba,higher
harpsichord,bass tuba,The sound of harpsichord is [MASK] than the sound of bass tuba,higher
harpsichord,euphonium,The sound of harpsichord is [MASK] than the sound of euphonium,higher
harpsichord,contrabass trombone,The sound of harpsichord is [MASK] than the sound of contrabass trombone,higher
harpsichord,bass trombone,The sound of harpsichord is [MASK] than the sound of bass trombone,higher
harpsichord,tenor trombone,The sound of harpsichord is [MASK] than the sound of tenor trombone,higher
harpsichord,piccolo trombone,The sound of harpsichord is [MASK] than the sound of piccolo trombone,lower
harpsichord,cimbasso,The sound of harpsichord is [MASK] than the sound of cimbasso,higher
harpsichord,french horn,The sound of harpsichord is [MASK] than the sound of french horn,higher
harpsichord,baritone horn,The sound of harpsichord is [MASK] than the sound of baritone horn,higher
harpsichord,bass wagner tuba,The sound of harpsichord is [MASK] than the sound of bass wagner tuba,higher
harpsichord,tenor wagner tuba,The sound of harpsichord is [MASK] than the sound of tenor wagner tuba,higher
harpsichord,bass trumpet,The sound of harpsichord is [MASK] than the sound of bass trumpet,higher
harpsichord,piccolo trumpet,The sound of harpsichord is [MASK] than the sound of piccolo trumpet,lower
harpsichord,timpani 32inch,The sound of harpsichord is [MASK] than the sound of timpani 32inch,higher
harpsichord,timpani 29inch,The sound of harpsichord is [MASK] than the sound of timpani 29inch,higher
harpsichord,timpani 26inch,The sound of harpsichord is [MASK] than the sound of timpani 26inch,higher
harpsichord,timpani 23inch,The sound of harpsichord is [MASK] than the sound of timpani 23inch,higher
harpsichord,timpani 20inch,The sound of harpsichord is [MASK] than the sound of timpani 20inch,higher
harpsichord,xylophone,The sound of harpsichord is [MASK] than the sound of xylophone,lower
harpsichord,celesta,The sound of harpsichord is [MASK] than the sound of celesta,lower
harpsichord,glockenspiel,The sound of harpsichord is [MASK] than the sound of glockenspiel,lower
harpsichord,crotales,The sound of harpsichord is [MASK] than the sound of crotales,lower
bass guitar,baritone guitar,The sound of bass guitar is [MASK] than the sound of baritone guitar,lower
bass guitar,guitar,The sound of bass guitar is [MASK] than the sound of guitar,lower
bass guitar,mandolin,The sound of bass guitar is [MASK] than the sound of mandolin,lower
bass guitar,5-string banjo,The sound of bass guitar is [MASK] than the sound of 5-string banjo,lower
bass guitar,Ukulele,The sound of bass guitar is [MASK] than the sound of Ukulele,lower
bass guitar,piano,The sound of bass guitar is [MASK] than the sound of piano,lower
bass guitar,hammered dulcimer,The sound of bass guitar is [MASK] than the sound of hammered dulcimer,lower
bass guitar,cymbalum,The sound of bass guitar is [MASK] than the sound of cymbalum,lower
bass guitar,heckelphone,The sound of bass guitar is [MASK] than the sound of heckelphone,lower
bass guitar,cor anglais,The sound of bass guitar is [MASK] than the sound of cor anglais,lower
bass guitar,oboe d'amore,The sound of bass guitar is [MASK] than the sound of oboe d'amore,lower
bass guitar,oboe,The sound of bass guitar is [MASK] than the sound of oboe,lower
bass guitar,bass clarinet,The sound of bass guitar is [MASK] than the sound of bass clarinet,lower
bass guitar,alto clarinet,The sound of bass guitar is [MASK] than the sound of alto clarinet,lower
bass guitar,soprano clarinet,The sound of bass guitar is [MASK] than the sound of soprano clarinet,lower
bass guitar,sopranino clarinet,The sound of bass guitar is [MASK] than the sound of sopranino clarinet,lower
bass guitar,subcontrabass saxophone,The sound of bass guitar is [MASK] than the sound of subcontrabass saxophone,higher
bass guitar,contrabass saxophone,The sound of bass guitar is [MASK] than the sound of contrabass saxophone,higher
bass guitar,alto saxophone,The sound of bass guitar is [MASK] than the sound of alto saxophone,lower
bass guitar,soprano saxophone,The sound of bass guitar is [MASK] than the sound of soprano saxophone,lower
bass guitar,sopranino saxophone,The sound of bass guitar is [MASK] than the sound of sopranino saxophone,lower
bass guitar,sopranissimo saxophone,The sound of bass guitar is [MASK] than the sound of sopranissimo saxophone,lower
bass guitar,harmonium,The sound of bass guitar is [MASK] than the sound of harmonium,lower
bass guitar,accordion,The sound of bass guitar is [MASK] than the sound of accordion,lower
bass guitar,16-hole harmonica,The sound of bass guitar is [MASK] than the sound of 16-hole harmonica,lower
bass guitar,typical C harmonica,The sound of bass guitar is [MASK] than the sound of typical C harmonica,lower
bass guitar,hyperbass flute,The sound of bass guitar is [MASK] than the sound of hyperbass flute,higher
bass guitar,contra-alto flute,The sound of bass guitar is [MASK] than the sound of contra-alto flute,lower
bass guitar,bass flute,The sound of bass guitar is [MASK] than the sound of bass flute,lower
bass guitar,alto flute,The sound of bass guitar is [MASK] than the sound of alto flute,lower
bass guitar,flute,The sound of bass guitar is [MASK] than the sound of flute,lower
bass guitar,piccolo,The sound of bass guitar is [MASK] than the sound of piccolo,lower
bass guitar,great bass recorder,The sound of bass guitar is [MASK] than the sound of great bass recorder,lower
bass guitar,bass recorder,The sound of bass guitar is [MASK] than the sound of bass recorder,lower
bass guitar,tenor recorder,The sound of bass guitar is [MASK] than the sound of tenor recorder,lower
bass guitar,alto recorder,The sound of bass guitar is [MASK] than the sound of alto recorder,lower
bass guitar,soprano recorder,The sound of bass guitar is [MASK] than the sound of soprano recorder,lower
bass guitar,sopranino recorder,The sound of bass guitar is [MASK] than the sound of sopranino recorder,lower
bass guitar,garklein recorder,The sound of bass guitar is [MASK] than the sound of garklein recorder,lower
bass guitar,subcontrabass tuba,The sound of bass guitar is [MASK] than the sound of subcontrabass tuba,higher
bass guitar,alto trombone,The sound of bass guitar is [MASK] than the sound of alto trombone,lower
bass guitar,soprano trombone,The sound of bass guitar is [MASK] than the sound of soprano trombone,lower
bass guitar,sopranino trombone,The sound of bass guitar is [MASK] than the sound of sopranino trombone,lower
bass guitar,piccolo trombone,The sound of bass guitar is [MASK] than the sound of piccolo trombone,lower
bass guitar,alto horn,The sound of bass guitar is [MASK] than the sound of alto horn,lower
bass guitar,flugelhorn,The sound of bass guitar is [MASK] than the sound of flugelhorn,lower
bass guitar,cornet,The sound of bass guitar is [MASK] than the sound of cornet,lower
bass guitar,trumpet,The sound of bass guitar is [MASK] than the sound of trumpet,lower
bass guitar,piccolo trumpet,The sound of bass guitar is [MASK] than the sound of piccolo trumpet,lower
bass guitar,timpani 32inch,The sound of bass guitar is [MASK] than the sound of timpani 32inch,higher
bass guitar,timpani 29inch,The sound of bass guitar is [MASK] than the sound of timpani 29inch,higher
bass guitar,timpani 26inch,The sound of bass guitar is [MASK] than the sound of timpani 26inch,higher
bass guitar,timpani 23inch,The sound of bass guitar is [MASK] than the sound of timpani 23inch,higher
bass guitar,marimba,The sound of bass guitar is [MASK] than the sound of marimba,lower
bass guitar,xylophone,The sound of bass guitar is [MASK] than the sound of xylophone,lower
bass guitar,celesta,The sound of bass guitar is [MASK] than the sound of celesta,lower
bass guitar,vibraphone,The sound of bass guitar is [MASK] than the sound of vibraphone,lower
bass guitar,glockenspiel,The sound of bass guitar is [MASK] than the sound of glockenspiel,lower
bass guitar,crotales,The sound of bass guitar is [MASK] than the sound of crotales,lower
bass guitar,tubular bells,The sound of bass guitar is [MASK] than the sound of tubular bells,lower
baritone guitar,mandolin,The sound of baritone guitar is [MASK] than the sound of mandolin,lower
baritone guitar,piano,The sound of baritone guitar is [MASK] than the sound of piano,lower
baritone guitar,contrabassoon,The sound of baritone guitar is [MASK] than the sound of contrabassoon,higher
baritone guitar,oboe,The sound of baritone guitar is [MASK] than the sound of oboe,lower
baritone guitar,octocontrabass ciarinet,The sound of baritone guitar is [MASK] than the sound of octocontrabass ciarinet,higher
baritone guitar,octocontra-alto clarinet,The sound of baritone guitar is [MASK] than the sound of octocontra-alto clarinet,higher
baritone guitar,contrabass clarinet,The sound of baritone guitar is [MASK] than the sound of contrabass clarinet,higher
baritone guitar,soprano clarinet,The sound of baritone guitar is [MASK] than the sound of soprano clarinet,lower
baritone guitar,sopranino clarinet,The sound of baritone guitar is [MASK] than the sound of sopranino clarinet,lower
baritone guitar,subcontrabass saxophone,The sound of baritone guitar is [MASK] than the sound of subcontrabass saxophone,higher
baritone guitar,contrabass saxophone,The sound of baritone guitar is [MASK] than the sound of contrabass saxophone,higher
baritone guitar,bass saxophone,The sound of baritone guitar is [MASK] than the sound of bass saxophone,higher
baritone guitar,baritone saxophone,The sound of baritone guitar is [MASK] than the sound of baritone saxophone,higher
baritone guitar,sopranino saxophone,The sound of baritone guitar is [MASK] than the sound of sopranino saxophone,lower
baritone guitar,sopranissimo saxophone,The sound of baritone guitar is [MASK] than the sound of sopranissimo saxophone,lower
baritone guitar,harmonium,The sound of baritone guitar is [MASK] than the sound of harmonium,lower
baritone guitar,accordion,The sound of baritone guitar is [MASK] than the sound of accordion,lower
baritone guitar,16-hole harmonica,The sound of baritone guitar is [MASK] than the sound of 16-hole harmonica,lower
baritone guitar,typical C harmonica,The sound of baritone guitar is [MASK] than the sound of typical C harmonica,lower
baritone guitar,hyperbass flute,The sound of baritone guitar is [MASK] than the sound of hyperbass flute,higher
baritone guitar,double contrabass flute,The sound of baritone guitar is [MASK] than the sound of double contrabass flute,higher
baritone guitar,subcontrabass flute,The sound of baritone guitar is [MASK] than the sound of subcontrabass flute,higher
baritone guitar,flute,The sound of baritone guitar is [MASK] than the sound of flute,lower
baritone guitar,piccolo,The sound of baritone guitar is [MASK] than the sound of piccolo,lower
baritone guitar,sub-contrabass recorder,The sound of baritone guitar is [MASK] than the sound of sub-contrabass recorder,higher
baritone guitar,sub-great bass recorder,The sound of baritone guitar is [MASK] than the sound of sub-great bass recorder,higher
baritone guitar,tenor recorder,The sound of baritone guitar is [MASK] than the sound of tenor recorder,lower
baritone guitar,alto recorder,The sound of baritone guitar is [MASK] than the sound of alto recorder,lower
baritone guitar,soprano recorder,The sound of baritone guitar is [MASK] than the sound of soprano recorder,lower
baritone guitar,sopranino recorder,The sound of baritone guitar is [MASK] than the sound of sopranino recorder,lower
baritone guitar,garklein recorder,The sound of baritone guitar is [MASK] than the sound of garklein recorder,lower
baritone guitar,subcontrabass tuba,The sound of baritone guitar is [MASK] than the sound of subcontrabass tuba,higher
